"","Country.Name","Country.Code","Indicator.Name","Indicator.Code","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","test_var"
"1","Caribbean small states","CSS","Electricity production from oil sources (% of total)","EG.ELC.PETR.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","Montenegro","MNE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,1
"3","World","WLD","GDP per unit of energy use (PPP $ per kg of oil equivalent)","EG.GDP.PUSE.KO.PP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.360969602,3.490516166,3.642869863,3.784266604,3.963528961,4.070845685,4.203810264,4.412036492,4.570612294,4.704404535,4.923040476,5.116682068,5.255029513,5.360295633,5.551447824,5.861053492,6.250398728,6.624482653,6.905674313,7.02093258,7.072142783,7.393775845,7.605657806,NA,NA,NA,1
"4","St. Martin (French part)","MAF","Mortality rate, under-5 (per 1,000)","SH.DYN.MORT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"5","Georgia","GEO","Debt service on external debt, long-term (TDS, current US$)","DT.TDS.DLXF.CD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12892000,5932000,17210000,6899000,40114000,205096000,81954000,85771000,56572000,94670000,130634000,175254000,130750000,217190000,136573000,648404000,724577000,757240000,1505551000,1337124000,1238141000,1569719000,NA,1
"6","Cambodia","KHM","Price level ratio of PPP conversion factor (GDP) to market exchange rate","PA.NUS.PPPC.RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.358082635,0.354064912,0.401683914,0.38134992,0.348577502,0.297583971,0.295212203,0.275699717,0.271745017,0.27003484,0.265314983,0.268156645,0.270453136,0.273824133,0.287408851,0.316576474,0.31543259,0.317850882,0.331924278,0.332639976,0.335601798,0.335488054,NA,1
"7","Tanzania","TZA","Technical cooperation grants (BoP, current US$)","BX.GRT.TECH.CD.WD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21040000,23750000,34650000,41090000,48350000,58050000,75340000,78690000,103800000,135720000,169910000,171820000,176370000,169110000,131920000,134440000,157780000,181970000,202070000,190970000,198100000,200370000,226720000,229940000,203030000,256730000,246840000,217150000,189810000,148340000,149970000,151820000,177690000,157910000,173590000,176090000,208070000,101190000,139790000,165160000,149720000,206520000,204840000,247800000,NA,NA,1
"8","Lithuania","LTU","Survival rate to Grade 5 of primary education, male (%)","SE.PRM.PRS5.MA.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Zimbabwe","ZWE","Household final consumption expenditure, etc. (% of GDP)","NE.CON.PETC.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.98071142,67.66891088,65.28472152,69.31082713,71.54724188,67.70709145,69.46985048,67.64707691,71.43291267,63.16814974,61.77874238,58.76715195,58.95738292,50.43085195,64.64958455,63.10248482,68.06148881,64.86263248,64.00586988,61.49669082,65.01095789,64.32770017,72.5655401,65.19336038,63.91832789,59.91313308,70.02088136,80.21423574,79.74160798,81.59026811,92.20996289,103.4544852,98.28422985,119.412912,98.17534036,86.93866351,94.029029,97.57325674,95.6500457,88.14546129,NA,1
"10","Sierra Leone","SLE","CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)","EN.CO2.OTHX.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
