"cow","polity2","n_articles","democracy","region"
"AFG",NA,560,0,"asia"
"ALB",9,443,1,"eEurope"
"ALG",2,1167,0,"me"
"ARG",8,2452,1,"latam"
"ARM",5,455,0,"eEurope"
"AUL",10,4752,1,"asia"
"AUS",10,2412,1,"wEurope"
"BAH",-5,1714,0,"me"
"BEL",8,1910,1,"wEurope"
"BEN",7,433,1,"africa"
"BFO",0,634,0,"africa"
"BNG",5,814,0,"asia"
"BOL",7,526,1,"latam"
"BOS",NA,536,0,"eEurope"
"BOT",8,445,1,"africa"
"BRA",8,9062,1,"latam"
"BUL",9,1612,1,"eEurope"
"CAM",2,459,0,"asia"
"CAN",10,8220,1,"usac"
"CAO",-4,511,0,"africa"
"CHL",10,1862,1,"latam"
"CHN",-7,2400,0,"asia"
"COL",7,1197,1,"latam"
"COS",10,436,1,"latam"
"CRO",9,629,1,"eEurope"
"CYP",10,624,1,"eEurope"
"CZR",8,1875,1,"eEurope"
"DEN",10,1386,1,"wEurope"
"ECU",5,1542,0,"latam"
"EGY",-3,2447,0,"me"
"EST",9,454,1,"eEurope"
"ETI",-3,443,0,"africa"
"FIN",10,451,1,"wEurope"
"FJI",-4,558,0,"asia"
"FRN",9,11893,1,"wEurope"
"GAB",3,498,0,"africa"
"GAM",-5,503,0,"africa"
"GMY",10,17318,1,"wEurope"
"GHA",8,460,1,"africa"
"GRG",6,575,1,"eEurope"
"GUA",8,440,1,"asia"
"HUN",10,912,1,"eEurope"
"IND",9,2731,1,"asia"
"INS",8,636,1,"asia"
"IRE",10,2632,1,"wEurope"
"IRN",-7,853,0,"me"
"IRQ",3,468,0,"me"
"ISR",10,710,1,"me"
"ITA",10,11521,1,"wEurope"
"JOR",-3,1709,0,"me"
"JPN",10,451,1,"asia"
"KEN",8,824,1,"africa"
"ROK",8,576,1,"asia"
"KOS",8,435,1,"eEurope"
"KUW",-7,1794,0,"asia"
"KZK",-6,549,0,"asia"
"LAO",-7,450,0,"asia"
"LAT",8,441,1,"eEurope"
"LBR",6,449,1,"africa"
"LEB",7,2875,1,"me"
"LIB",-7,1474,0,"me"
"LIT",10,454,1,"eEurope"
"MAA",-2,488,0,"me"
"MAG",0,475,0,"africa"
"MAL",6,1206,1,"asia"
"MAS",10,442,1,"africa"
"MEX",8,7017,1,"latam"
"MOR",-6,1393,0,"me"
"MZM",5,440,0,"africa"
"NAM",6,455,1,"africa"
"NEP",6,578,1,"asia"
"NIG",4,568,0,"africa"
"NTH",10,16091,1,"wEurope"
"NEW",10,741,1,"asia"
"OMA",-8,1577,0,"me"
"PAK",6,4969,1,"asia"
"PER",9,701,1,"latam"
"PHI",8,1814,1,"asia"
"PNG",4,475,0,"asia"
"POL",10,1100,1,"eEurope"
"QAT",-10,2344,0,"me"
"RUM",9,1060,1,"eEurope"
"RUS",4,1507,0,"eEurope"
"RWA",-4,515,0,"africa"
"SAF",9,4837,1,"africa"
"SAU",-10,948,0,"me"
"SEN",7,592,1,"africa"
"SIE",7,485,1,"africa"
"SIN",-2,949,0,"asia"
"SLO",10,2178,1,"eEurope"
"SLV",10,1301,1,"eEurope"
"SPN",10,14037,1,"wEurope"
"SRI",4,981,0,"asia"
"SWZ",10,10638,1,"wEurope"
"SYR",-7,434,0,"me"
"TAW",10,659,1,"asia"
"TAZ",-1,529,0,"africa"
"THI",4,1554,0,"asia"
"TUN",-4,4118,0,"me"
"TUR",7,3314,1,"eEurope"
"UAE",-8,2953,0,"me"
"UGA",-1,671,0,"africa"
"UKG",10,22204,1,"wEurope"
"UKR",6,497,1,"eEurope"
"URU",10,953,1,"latam"
"USA",10,15244,1,"usac"
"VEN",-3,2225,0,"latam"
"VIE",-7,513,0,"asia"
"YEM",-2,679,0,"me"
"ZAI",5,673,0,"africa"
"ZAM",7,515,1,"africa"
"ZIM",1,669,0,"africa"
